Date,Player,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Backswing Time,Downswing Time
,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[yds],[deg],[yds],[yds],[deg],[yds],,[g/L],[deg C],[kPa],[%],[sec],[sec]
04/17/26 13:14:46 PM,Forrest,3 Hybrid,83.05620369,-2.126251698,-3.433933973,8.019962311,11.45389628,114.5365792,1.379024974,9.6494627,6.158101559,6427.209211,-1262.088624,6549.953125,Estimated,-11.10961628,16.10390714,152.1504507,11.21815681,29.60016859,165.2996325,11.58518982,33.19626738,,1.14991796,23.88888931,98.65278625,54,982,169
04/17/26 13:15:17 PM,Forrest,3 Hybrid,82.55383508,-3.505431652,-5.270519257,4.592930794,9.86345005,117.5471215,1.423884444,11.08712101,3.113253117,5850.095343,-1442.083311,6025.215332,Measured,-13.84767056,19.07168398,160.9863356,9.554955482,26.7227197,174.1090181,9.995699883,30.22084571,,1.14991796,23.88888931,98.65278625,54,987,158
04/17/26 13:15:55 PM,Forrest,3 Hybrid,83.22590414,-1.351062417,-0.0024501,2.856893063,2.859343163,115.5809277,1.388761454,11.53030872,2.346410513,2490.51342,1356.664808,2836.052979,Estimated,28.57858658,12.42322917,154.0690642,-5.757451534,-15.45593599,198.6959901,-7.600108624,-26.27927133,,1.14991796,23.88888931,98.65278625,54,1012,161
04/17/26 13:16:23 PM,Forrest,3 Hybrid,83.8654445,2.588066578,-2.561519861,3.571892977,6.133412838,119.1900082,1.421205228,,2.613518476,2851.060179,15.31605808,2851.101318,Estimated,0.30779323,0,0.97008815,2.612993717,0.044226125,168.6697675,3.044718504,8.959061662,,1.14991796,23.88888931,98.65278625,54,950,169
04/17/26 13:17:41 PM,Forrest,3 Hybrid,83.98525112,-1.892296076,-3.553013563,6.466638565,10.01965213,114.7241738,1.366003819,0.856373847,4.867265701,2706.000955,-590.5179527,2769.68457,Estimated,-12.31039524,0.254283304,60.84774997,6.163543224,6.533015205,162.41583,7.067023754,19.98207632,,1.14991796,23.88888931,98.65278625,54,935,158
04/17/26 13:18:07 PM,Forrest,3 Hybrid,81.47473071,1.028282166,-0.959208131,1.844230771,2.803438902,119.5501619,1.467328101,13.68619823,1.394870281,3919.959165,-575.7146257,3962.010498,Estimated,-8.355155945,22.30692781,177.1638814,4.904525757,15.1468083,194.1526599,5.182852268,17.53878518,,1.14991796,23.88888931,98.65278625,54,931,152
04/17/26 13:18:43 PM,Forrest,3 Hybrid,80.36602455,-1.072445512,2.182237625,7.512488842,5.330251217,100.3183323,1.248267945,13.46727943,6.443985939,1695.979506,768.2712193,1861.877319,Measured,24.37031555,9.450481625,122.918565,1.946720243,4.175636933,175.5480242,0.586508095,1.797113342,,1.14991796,23.88888931,98.65278625,54,964,141
04/17/26 13:19:23 PM,Forrest,3 Hybrid,79.14548181,-2.500485897,0.173093259,8.546662331,8.373569071,103.5574971,1.308444838,14.90994835,7.042081356,3877.793131,428.6054043,3901.407715,Measured,6.307197094,16.71504751,143.587235,4.797099113,12.00780491,161.5885608,4.557328224,12.83920619,,1.14991796,23.88888931,98.65278625,54,985,152
04/17/26 13:19:45 PM,Forrest,3 Hybrid,80.73621335,-1.129083037,2.200743914,3.872282982,1.671539068,108.9406031,1.349340012,13.25331783,3.456153393,2550.088174,682.9302918,2639.951416,Estimated,14.99237347,13.80202979,150.8194444,-0.802106678,-2.111339499,186.2364245,-1.599610448,-5.198767379,,1.14991796,23.88888931,98.65278625,54,983,150
04/17/26 13:20:10 PM,Forrest,3 Hybrid,83.53865573,3.046496391,-3.747346878,2.226954699,5.974301577,120.5904998,1.443529331,11.5295248,1.360376835,4814.345265,218.7632174,4819.312988,Measured,2.601722956,20.66654661,173.3075475,0.187671855,0.569886744,188.7556279,0.100870557,0.332744999,,1.14991796,23.88888931,98.65278625,54,917,168
04/17/26 13:20:37 PM,Forrest,3 Hybrid,82.91086563,-2.593425751,-5.542368889,5.659285069,11.20165396,117.695378,1.419541059,10.73140335,3.955165625,5028.650807,-162.3542497,5031.270996,Measured,-1.849200368,18.18510013,165.1791508,4.766743183,13.72632508,181.114131,4.828847408,15.24609728,,1.14991796,23.88888931,98.65278625,54,933,160
04/17/26 13:21:04 PM,Forrest,3 Hybrid,80.37745909,-1.539771438,4.206315517,14.18141747,9.975101948,98.33407355,1.223403609,7.875241756,12.17526245,1740.009581,-151.7049046,1746.610352,Estimated,-4.982803822,3.684223228,89.93904585,12.81750488,19.95266092,154.9611132,13.07640171,35.05996535,,1.14991796,23.88888931,98.65278625,54,994,147
04/17/26 13:21:29 PM,Forrest,3 Hybrid,81.42014361,1.247214079,-1.414404273,15.25098038,16.66538465,107.9731305,1.326123066,10.54925346,12.35052109,3993.650227,21.16292023,3993.706299,Estimated,0.30361563,12.38873876,143.6028709,12.24570847,30.45878674,172.4947462,12.21013832,36.48223411,,1.14991796,23.88888931,98.65278625,54,948,151
04/17/26 13:22:10 PM,Forrest,3 Hybrid,83.66830117,-0.76469785,-2.363099337,4.362129688,6.725229025,117.2536636,1.401410832,3.633756161,3.287464619,3992.781701,-423.8194928,4015.212158,Estimated,-6.059053898,4.872270897,132.518658,5.079524517,11.73299866,182.5034258,5.590404987,17.77877875,,1.14991796,23.88888931,98.65278625,54,939,160
04/17/26 13:22:36 PM,Forrest,3 Hybrid,83.7935008,-1.922947645,-1.332078815,0.274627686,1.6067065,120.80302,1.441675296,9.19687748,0.058906384,4850.463875,-300.2046038,4859.745117,Estimated,-3.541629076,16.62176384,168.9064257,1.591638565,4.691635873,186.1320626,1.723855138,5.599320716,,1.14991796,23.88888931,98.65278625,54,1000,159
04/17/26 13:23:06 PM,Forrest,3 Hybrid,83.18772644,1.975793242,-9.417969704,6.248956203,15.66692591,80.39224718,0.966395532,3.195975304,3.954592228,3771.940387,158.7492578,3775.279541,Estimated,2.409979105,0.576907828,40.34676148,3.713674545,2.613293794,98.76894006,3.617849588,6.232436589,,1.14991796,23.88888931,98.65278625,54,947,176
04/17/26 13:23:34 PM,Forrest,3 Hybrid,83.8770753,3.62010169,-4.995188713,2.363481998,7.358670712,116.7723891,1.392184798,0.49999997,1.316384792,3484.896984,-1249.39993,3702.094971,Estimated,-19.72369385,0.371534777,75.38104519,4.331557274,5.693413191,162.8265526,6.088015556,17.26875253,,1.14991796,23.88888931,98.65278625,54,915,166
04/17/26 13:24:22 PM,Forrest,3 Hybrid,82.85284817,-1.912455201,-4.288937092,-1.374940991,2.9139961,117.2911416,1.41565612,12.68399811,-1.666069627,3036.764923,-297.205938,3051.273926,Estimated,-5.589694023,17.54582928,172.2996058,0.277658671,0.835002272,193.89838,0.485374808,1.643694137,,1.14991796,23.88888931,98.65278625,54,983,164
04/17/26 13:24:50 PM,Forrest,3 Hybrid,81.44867874,-0.711470842,-0.623000026,1.363134027,1.986134052,116.9540361,1.435923061,12.59266472,1.04175508,2897.305696,-207.3013359,2904.712402,Measured,-4.092521191,16.89565959,171.3975111,2.413299561,7.217310792,195.9709498,2.577090263,8.811427709,,1.14991796,23.88888931,98.65278625,54,948,163
04/17/26 13:25:21 PM,Forrest,3 Hybrid,81.50270266,-1.373127222,-3.699164152,0.645414829,4.344578981,118.8093833,1.457735503,12.84401798,0.0672931,3814.04273,-1292.318938,4027.034912,Estimated,-18.71801376,19.45545883,170.652777,7.57525444,22.49686596,188.5771581,8.25590229,27.07865818,,1.14991796,23.88888931,98.65278625,54,972,163
04/17/26 13:25:50 PM,Forrest,3 Hybrid,81.10691415,-4.540102005,-6.635330677,8.195623398,14.83095407,113.6618116,1.401382519,10.46134663,5.9018116,6411.106846,-634.856986,6442.463379,Estimated,-5.65525198,17.28168513,152.8944172,8.50001812,22.59929005,165.4424751,8.673622131,24.94968342,,1.14991796,23.88888931,98.65278625,54,959,160
04/17/26 13:26:17 PM,Forrest,3 Hybrid,80.18750074,-3.507533789,-5.609252453,3.758359671,9.367612123,112.962257,1.408726497,12.39086533,2.385333061,4454.896819,-45.61745901,4455.130371,Estimated,-0.586679459,17.9671629,159.3237041,2.623833179,7.293553152,176.2972304,2.642861843,8.129195079,,1.14991796,23.88888931,98.65278625,54,945,160
04/17/26 13:26:44 PM,Forrest,3 Hybrid,83.0348962,-0.163244709,-0.750120819,1.612548828,2.362669647,113.4297759,1.366049469,12.98596191,1.230723977,2576.113978,352.7287291,2600.150146,Estimated,7.796616077,15.24031829,162.7774922,-1.103403568,-3.134618827,194.4592876,-1.473260641,-4.999807176,,1.14991796,23.88888931,98.65278625,54,909,162
04/17/26 13:27:09 PM,Forrest,3 Hybrid,82.8157542,-0.841703176,-6.071169853,-0.735776663,5.33539319,120.3235717,1.452906791,10.69156647,-1.364050865,3701.02807,120.8762822,3703.001465,Estimated,1.870626092,16.96075227,173.7691661,-2.087597847,-6.330006264,194.0549395,-2.157854319,-7.306876336,,1.14991796,23.88888931,98.65278625,54,916,175
04/17/26 13:27:44 PM,Forrest,3 Hybrid,80.69359838,-2.86928606,0.170714796,2.783063412,2.612348616,93.30015608,1.156227482,9.356049538,2.307432652,1878.714181,1084.676175,2169.352295,Measured,30,4.302007192,87.07651116,-2.070275784,-3.145808914,142.8637438,-3.810639381,-9.494592215,,1.14991796,23.88888931,98.65278625,54,952,143
04/17/26 13:28:17 PM,Forrest,3 Hybrid,81.71647726,-0.909784675,-6.314948559,-1.482939959,4.8320086,117.3513777,1.436079743,6.28512001,-2.008291006,4700.011224,-19.75349053,4700.052734,Estimated,-0.240804732,10.10371238,151.7956136,-1.917446494,-5.079085568,189.0087397,-1.896510482,-6.255020138,,1.14991796,23.88888931,98.65278625,54,958,157
04/17/26 13:28:40 PM,Forrest,3 Hybrid,83.65888902,-1.785716057,-3.661161423,5.966669559,9.627830982,114.7066977,1.371123847,13.22960281,4.443048,4975.970668,-1331.672612,5151.081055,Measured,-14.98243618,20.20935631,160.4250442,11.00685883,30.62937189,174.691202,11.49411297,34.81018473,,1.14991796,23.88888931,98.65278625,54,895,170
04/17/26 13:29:38 PM,Forrest,3 Wood,82.73339994,-3.239981651,-5.233077526,0.006680046,5.239757572,114.8070571,1.387674835,11.7282629,-0.649312139,2759.832937,-225.8577185,2769.059326,Estimated,-4.678514957,14.2365943,162.7090578,0.793275714,2.252889395,198.7271118,1.047918677,3.63468564,,1.14991796,23.88888931,98.65278625,54,950,163
04/17/26 13:30:06 PM,Forrest,3 Wood,78.7417574,-5.299474239,6.596330166,7.935554028,1.339223862,105.6590196,1.341842284,8.293437958,7.343823433,2226.226664,-849.2606818,2382.7146,Estimated,-20.88084602,5.622536816,114.1309312,11.39302158,22.54520676,171.2026377,12.75697422,37.80431277,,1.14991796,23.88888931,98.65278625,54,973,132
04/17/26 13:30:35 PM,Forrest,3 Wood,80.72114366,-0.356421471,-2.688412905,8.73557663,11.42398953,111.9921903,1.387395982,10.20292473,6.839207649,2822.946937,441.6309444,2857.283203,Measured,8.891466141,11.00134943,148.8202983,4.285965443,11.12206063,194.6620374,3.678764343,12.49013138,,1.14991796,23.88888931,98.65278625,54,886,171
04/17/26 13:30:59 PM,Forrest,3 Wood,81.59985354,-2.554177999,-5.315406799,5.17687273,10.49227953,118.5783459,1.453168612,9.259304047,3.587300062,4923.09302,-1615.748113,5181.456055,Measured,-18.1697197,14.93460209,159.4211575,11.18466759,30.9231588,176.5949472,11.89745998,36.40691632,,1.14991796,23.88888931,98.65278625,54,943,152
