Date,Player,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Backswing Time,Downswing Time
,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[yds],[deg],[yds],[yds],[deg],[yds],,,[g/L],[deg C],[kPa],[%],[sec],[sec]
04/14/26 15:15:00 PM,Forrest,6 Iron,77.00107985,-1.065282226,-7.774285793,0.504253089,8.278538883,100.4946545,1.305107081,16.66697121,-0.55856812,6045.706927,-549.3875893,6070.617676,Estimated,-5.192340851,19.53136276,135.6633152,1.61046195,3.812907274,146.9721215,1.756803155,4.505798085,,,1.133081436,27.77777863,98.65278625,55,984,173
04/14/26 15:15:30 PM,Forrest,6 Iron,75.75503127,-4.575472355,-9.552331924,1.47558856,11.02792048,94.13065318,1.242566356,16.85299873,0.016827328,2222.609516,-655.7633965,2317.330078,Measured,-16.4382782,12.84362831,124.3915045,3.834408522,8.31852519,155.0252922,4.568875313,12.34900544,,,1.133081436,27.77777863,98.65278625,55,990,169
04/14/26 15:15:58 PM,Forrest,6 Iron,78.52531189,-2.528199196,-3.50767684,-0.488573551,3.019103289,103.6118453,1.319470662,15.79529953,-0.840230465,5859.466851,-213.1991458,5863.344238,Estimated,-2.083811522,19.85262727,141.6508162,0.04423466,0.110729694,153.4674064,0.104678325,0.281497167,,,1.133081436,27.77777863,98.65278625,55,953,170
04/14/26 15:16:23 PM,Forrest,6 Iron,76.18850254,-0.708081663,-5.198223114,5.088673592,10.28689671,100.4265934,1.318133184,19.75434113,3.529513836,6749.620001,-2113.262113,7072.711426,Measured,-17.38499832,23.3241017,133.7302422,11.28470421,26.16888952,141.823529,11.65940571,28.66161447,,,1.133081436,27.77777863,98.65278625,55,959,174
04/14/26 15:16:58 PM,Forrest,6 Iron,75.72612067,-3.03274107,-7.897514343,0.271249563,8.168763906,98.11541794,1.295661485,17.80078125,-0.765381753,3505.881795,-1496.112256,3811.765869,Estimated,-23.1100502,16.93220043,133.0949095,6.761583328,15.67039393,150.4453669,7.595201015,19.88492748,,,1.133081436,27.77777863,98.65278625,55,956,181
04/14/26 15:17:30 PM,Forrest,6 Iron,80.25166214,-1.700612903,-4.812112808,5.342724323,10.15483713,104.4681384,1.301756694,17.60919571,3.786509752,5474.358356,-943.7491498,5555.111328,Estimated,-9.781332016,22.38640071,145.0167961,7.976342201,20.12318349,156.6118634,8.242215157,22.45167696,,,1.133081436,27.77777863,98.65278625,55,947,166
04/14/26 15:17:59 PM,Forrest,6 Iron,75.11657463,-2.148714066,-3.915473223,4.17523241,8.090705633,98.34752193,1.309265264,19.30604362,2.939699411,3036.21981,-1310.968037,3307.154053,Measured,-23.35354614,18.50210523,136.9627744,10.27270508,24.4250371,154.9788684,11.08651066,29.80099516,,,1.133081436,27.77777863,98.65278625,55,941,176
04/14/26 15:18:56 PM,Forrest,5 Iron,81.14923046,0.545015216,-6.244543552,4.08024025,10.3247838,109.8847032,1.354106533,15.55388832,2.570241213,3809.587959,-713.8440992,3875.891357,Estimated,-10.61306381,20.24044461,159.0342809,6.604260921,18.29071774,176.2281787,6.964466572,21.36838411,,,1.133081436,27.77777863,98.65278625,55,928,169
04/14/26 15:19:25 PM,Forrest,5 Iron,80.47722114,-0.399345219,-6.81107235,3.108384609,9.919456959,104.5746673,1.299431886,11.9693737,1.701048613,5803.155136,129.4659098,5804.599121,Estimated,1.278032303,14.84374642,138.3608633,1.189103007,2.871237336,152.7354046,1.143123269,3.047136317,,,1.133081436,27.77777863,98.65278625,55,923,186
04/14/26 15:22:46 PM,Forrest,5 Iron,78.70493649,0.475597143,-3.430284023,6.199821472,9.630105495,104.8664356,1.332399724,17.27947044,4.663452625,3403.323616,-861.3482595,3510.631348,Estimated,-14.20276833,19.71142624,150.7173686,9.624491692,25.19846906,168.3887713,10.10503292,29.54433106,,,1.133081436,27.77777863,98.65278625,55,892,179
